bps_desa_kelurahan,rendah_pct,menengah_pct,tinggi_pct
CIPADUNG KIDUL,0.2722850165906658,0.4121723295885286,0.3155426538208056
CIPADUNG KULON,0.37365185435535003,0.45754597919973305,0.16880216644491694
CIPADUNG WETAN,0.46362482463758437,0.468835593560024,0.06753958180239161
CIPAGANTI,0.33842287686280803,0.5068593470202595,0.15471777611693244
CIPAMOKOLAN,0.35892552322771565,0.4000242835750184,0.24105019319726595
CIPEDES,0.4043946193653094,0.4840596821610992,0.11154569847359141
CIRANGRANG,0.5036901401286844,0.40809236794588133,0.08821749192543425
CIROYOM,0.4162300255176048,0.5136676080353813,0.07010236644701397
CISARANTEN BINA HARAPAN,0.39628622311697864,0.4655287558799048,0.13818502100311658
CISARANTEN ENDAH,0.3800229345404987,0.39735592365559763,0.2226211418039037
CISARANTEN KIDUL,0.3574058037002979,0.4161897704648734,0.22640442583482875
CISARANTEN KULON,0.35927197127740346,0.40930658114396984,0.23142144757862668
CISARANTEN WETAN,0.4116424516501491,0.46321562590204945,0.1251419224478014
CISEUREUH,0.3766914893617021,0.5016631205673759,0.12164539007092198
CISURUPAN,0.4614666359395736,0.43743990336859,0.10109346069183639
CITARUM,0.19784237032492266,0.3329243040110438,0.46923332566403353
CIUMBULEUIT,0.451656891089059,0.4413755208110159,0.10696758809992514
DAGO,0.3626168001728294,0.46928280908987297,0.16810039073729763
DERWATI,0.39182954269874354,0.4466645587689059,0.1615058985323506
DUNGUS CARIANG,0.3816292612216335,0.5139895531340598,0.1043811856443067
GARUDA,0.337710746326695,0.5140849373663305,0.14820431630697442
GEGERKALONG,0.3391195242202935,0.401152010199616,0.2597284655800905
GEMPOL SARI,0.3675532869094408,0.44242676277608356,0.19001995031447566
GUMURUH,0.3604187498106233,0.4493712692785504,0.19020998091082628
HEGARMANAH,0.36103337924447537,0.4794258874779059,0.15954073327761875
HUSEN SASTRANEGARA,0.37990876068987217,0.5037217916082716,0.11636944770185625
ISOLA,0.3991107170447363,0.42022350586417584,0.18066577709108786
JAMIKA,0.426828548045527,0.49569070982003494,0.07748074213443804
